구분,진행단계,등록일,완료일,제품명,핵심키워드,주제,요청내용,요청자,적용,팀참조,해결사,업체 피드백
출시전검사,1-3.업체피드백,2026년 4월 23일,,[꿈비] NEW 젖병세척기 올 스테인리스,,조립 및 마감처리에 대한 개선요청,"커버 단차 맞지 않는 부분은 기구물 수치조정 필요, 조립시 배선 정위치 및 씹힘 방지 지침 전달 필요",엄마감동팀 심우승 SQ,,"@혁신상품개발팀 @구매품질팀 @엄마감동팀 ",신상품기획파트 강태헌 파트장,"  1. 케이블 정위치 아닌채 조립되어 씹힘
 → 2차 샘플 개선 예정
  2. 커버류 단차, 단차 맞추기위해 사이드커버 임의로 덜조여서 맞춰 조립 되어있음
→ 이 부분은 금형 수정이 필요합니다. 구조를 검토하고 조정을 시도하겠지만, 적절한 개선을 이루기는 다소 어려울 것으로 보입니다. (본생산시 최대한 단차가 발행하지 않도록 생산 요청)"
출시전검사,1-2. 개선요청,2026년 4월 23일,,[꿈비] NEW 젖병세척기 올 스테인리스,,"내부 반사판 조립 스크류 변경 및 사출, 조립방법 개선","스크류 재질 및 타입 변경 (접시머리 타입), 스테인레스 배부름현상 관련 사출수정 및 조립방법 변경",엄마감동팀 권미숙 부장,,"@혁신상품개발팀 @구매품질팀 @엄마감동팀 ",신상품기획파트 강태헌 파트장,
출시전검사,2-4. 개선불가통보,2026년 4월 23일,2026년 4월 24일,[꿈비] NEW 젖병세척기 올 스테인리스,"건조성능, 건조소음, 세척성능, 세척소음","젖병살균세척기 세척, 건조검사",내부 데이터 베이스 참조,엄마감동팀 권미숙 부장,,"@엄마감동팀 ",엄마감동팀 심우승 SQ,세척범위 개선 불가
스펙비교,2-3 검사완료,2026년 4월 4일,2026년 4월 4일,"[꿈비] 뭉침없이 조용한 분유쉐이커, [꿈비] 분유쉐이커, [나리몽] 분유쉐이커, [워너홈] 분유쉐이커, [해님] 분유쉐이커",거품측정,분유쉐이커 5종 거품발생 정도 측정,200ml 압타밀,,,,엄마감동팀 심우승 SQ,
스펙비교,2-3 검사완료,2026년 4월 3일,2026년 4월 3일,"[꿈비] 뭉침없이 조용한 분유쉐이커, [꿈비] 분유쉐이커, [나리몽] 분유쉐이커, [워너홈] 분유쉐이커, [해님] 분유쉐이커",회전패턴,분유쉐이커 정-역방향 회전 패턴 측정,"최저단계, 최고단계 설정별 차이유무 추가 체크",,,,엄마감동팀 심우승 SQ,
스펙비교,2-3 검사완료,2026년 4월 2일,2026년 4월 2일,"[꿈비] 뭉침없이 조용한 분유쉐이커, [꿈비] 분유쉐이커, [나리몽] 분유쉐이커, [워너홈] 분유쉐이커, [해님] 분유쉐이커",녹는시간,분유쉐이커 5종 분유 녹는시간 측정,녹는시간_압타밀,,,,엄마감동팀 심우승 SQ,
스펙비교,2-3 검사완료,2026년 4월 7일,2026년 4월 7일,"[꿈비] 분유쉐이커, [나리몽] 분유쉐이커",녹는시간,분유 5종 녹는시간 비교 측정,"압타밀, 엡솔루트 명작, HIPP 콤비오틱 유기농, 아이엠마더, 임페리얼 XO Gold",,,,엄마감동팀 심우승 SQ,
스펙비교,2-3 검사완료,2026년 4월 1일,2026년 4월 2일,"[꿈비] 뭉침없이 조용한 분유쉐이커, [꿈비] 분유쉐이커, [나리몽] 분유쉐이커, [워너홈] 분유쉐이커, [해님] 분유쉐이커",회전속도,분유쉐이커 5종 회전속도 측정,200ml 부하 및 무부하 측정,,,,엄마감동팀 심우승 SQ,
스펙비교,2-3 검사완료,2026년 4월 3일,2026년 4월 3일,"[꿈비] 뭉침없이 조용한 분유쉐이커, [꿈비] 분유쉐이커, [나리몽] 분유쉐이커, [워너홈] 분유쉐이커, [해님] 분유쉐이커",소음주파수,분유쉐이커 5종 소음 주파수 영역 측정,녹화영상 주파수대역 범위 비교,,,,엄마감동팀 심우승 SQ,
스펙비교,2-3 검사완료,2026년 4월 2일,2026년 4월 3일,"[꿈비] 뭉침없이 조용한 분유쉐이커, [꿈비] 분유쉐이커, [나리몽] 분유쉐이커, [워너홈] 분유쉐이커, [해님] 분유쉐이커",소음측정,분유쉐이커 5종 소음 측정,"60cm, 200ml 부하기준",,,,엄마감동팀 심우승 SQ,
스펙비교,2-3 검사완료,2026년 4월 7일,2026년 4월 7일,"[꿈비] 분유쉐이커, [나리몽] 분유쉐이커",거품측정,분유 5종 거품발생 비교 측정,"압타밀, 엡솔루트 명작, HIPP 콤비오틱 유기농, 아이엠마더, 임페리얼 XO Gold",,,,엄마감동팀 심우승 SQ,
사후개선,1-2. 개선요청,2026년 3월 30일,,"[꿈비] 뭉침없이 조용한 분유쉐이커, [꿈비] 분유쉐이커",회전불량,회전불량 / 툭 쳐야 작동 현상,"25.08~25.10월 추정, 모터 단품 불량에 대한 원자재 전수 검사 요구","엄마감동팀 장진영 AP, 엄마감동팀 이대훈SQ",,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ","구매품질팀 오혁진 SQ, 신상품기획파트 강태헌 파트장, 엄마감동팀 이대훈SQ",
사후개선,1-2. 개선요청,2026년 3월 10일,,[뉴어스] 미세먼지비움 청소기,충전불량,충전불량,"초기 반복불량에 대한 시료발송, 원인파악 요청",엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 @신상품사업팀 ",신상품기획파트 강태헌 파트장,
사후개선,1-1. 샘플테스트,2026년 2월 24일,,[꿈비] 뭉침없이 조용한 분유쉐이커,충전사양,"5V 2A 적용 샘플 테스트 ",,엄마감동팀 심우승 SQ,,,신상품기획파트 강태헌 파트장,
사후개선,1-2. 개선요청,2026년 2월 24일,,[꿈비] 휴대용 분유포트,기구변형,"뚜껑 기구불량(안닫힘, 본체결합불가 등)",뚜껑 원자재 성분(내열성) 재검토 및 출고검사 기준 강화 필요,엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",신상품기획파트 강태헌 파트장,
사후개선,1-2. 개선요청,2026년 2월 24일,,[꿈비] 휴대용 분유포트,내부이상음,내부 파편소리(덜그럭) 발생,"내부 열선코일부 단단한 파편 굴러다니는 소리 발생중, 원인파악 및 재발방지 대책 수립 필요",엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",신상품기획파트 강태헌 파트장,
사후개선,1-2. 개선요청,2026년 2월 20일,,[꿈비] 분유쉐이커,"기구개선, 성능저하개선, 소음개선",모터 고정 스크류에 의한 내컵 회전 간섭 마모 발생 → 플라스틱가루 베어링 유입으로 소음 및 회전력 저하 발생,내컵-모터고정 스크류 간섭에 의한 마모 발생되지 않도록 사출 변경(수정) 필요,엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",구매품질팀 오혁진 SQ,
사후개선,취소_발주중단,2026년 2월 11일,2026년 2월 12일,[꿈비] UV LED 젖병소독기,마감개선,내부 스테인레스 마감 불량,내부 스테인레스 마감처리 품질 향상 필요,엄마감동팀 권미숙 부장,발주계획 취소,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",구매품질팀 오혁진 SQ,
사후개선,취소_발주중단,2026년 2월 11일,2026년 2월 12일,[꿈비] UV LED 젖병소독기,기구개선,도어 유격 과다에 의한 도어 흔들림에 대한 이의제기,도어 힌지 강도와 정밀도 상향 필요,엄마감동팀 권미숙 부장,발주계획 취소,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",구매품질팀 오혁진 SQ,
사후개선,취소_발주중단,2026년 2월 11일,2026년 2월 12일,[꿈비] UV LED 젖병소독기,원자재개선,건조불량(성능 약함)에 대한 이의제기,건조 성능 상향 필요,엄마감동팀 권미숙 부장,발주계획 취소,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",구매품질팀 오혁진 SQ,
사후개선,취소_발주중단,2026년 2월 11일,2026년 2월 12일,[꿈비] UV LED 젖병소독기,원자재개선,디스플레이 불량에 대한 개선 (불량율 최다),"전면부 외부 디스플레이 표시 오류 발생에 대한 구조 및 원자재 개선 요청, 내부 습기가 유입되어 발생 될 가능성 큼",엄마감동팀 심우승 SQ,발주계획 취소,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",구매품질팀 오혁진 SQ,
사후개선,취소_발주중단,2026년 2월 11일,2026년 2월 12일,[꿈비] UV LED 젖병소독기,"건조소음, 소음개선",FAN 내구성(소음)에 대한 개선,"습도 배출이 원활하지 않아 발생되는 FAN의 내구성(소음발생) 저하로 추정 → 기구적, 원자재 내구성 측면 개선필요",엄마감동팀 심우승 SQ,발주계획 취소,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",구매품질팀 오혁진 SQ,
사후개선,1-2. 개선요청,2026년 2월 5일,,[꿈비] 휴대용 분유포트,원자재개선,내부 ‘녹’과 같은 오염 발생에 대한 개선,원인회신 및 개선방안,엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",신상품기획파트 강태헌 파트장,
출시전검사,1-1. 샘플테스트,2026년 2월 4일,,[개발] 휴대용 분유포트 (주입구 넓은 모델),시스템개선,이유식 100도 가열시 최초 1회 HH알람,"이유식 공용 사용시, 가열시스템 2회로 구성 필요",엄마감동팀 권미숙 부장,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",신상품기획파트 강태헌 파트장,
출시전검사,1-1. 샘플테스트,2026년 2월 4일,,[개발] 휴대용 분유포트 (주입구 넓은 모델),기구개선,이유식 사용시 세척강도와 세척시간 증가로 인해 방수등급 확보 반드시 필요,방수등급 확보 필요,엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",신상품기획파트 강태헌 파트장,
사후개선,1-2. 개선요청,2026년 2월 3일,,[꿈비] 휴대용 분유포트,마감개선,온도센서 실리콘 마감 불량,실리콘 재질과 두께 변경 검토,엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",신상품기획파트 강태헌 파트장,
사후개선,1-2. 개선요청,2026년 1월 28일,,[꿈비] 젖병살균세척기,"기구개선, 누전, 물넘침",물 과보충시 내부누수 → 누전 및 전자부품 부식 및 데미지에 관한 기구개선2,기구변경,엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",신상품기획파트 강태헌 파트장,
사후개선,1-2. 개선요청,2026년 1월 28일,,[꿈비] 젖병살균세척기,원자재개선,"세척펌프 내구성 개선(세척불량, 세척소음, 노즐미회전)",원자재 품질 개선,엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",신상품기획파트 강태헌 파트장,
사후개선,1-2. 개선요청,2026년 1월 28일,,[꿈비] 젖병살균세척기,원자재개선,가열판 내구성 개선(E6),원자재 품질 개선,엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",신상품기획파트 강태헌 파트장,
사후개선,1-2. 개선요청,2026년 1월 28일,,[꿈비] 젖병살균세척기,"기구개선, 회로단선","3세대 LCD와이어하네스 단선(E4,E5)",기구변경,엄마감동팀 심우승 SQ,,"@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",신상품기획파트 강태헌 파트장,
사후개선,1-2. 개선요청,2026년 1월 16일,,[꿈비] 분유쉐이커,충전사양,"고속충전 지원 / 고속충전으로 인한 불량, 배터리용량 관련 불편접수 많음",고속충전 지원 회로변경,엄마감동팀 심우승 SQ,"5V 2A, 과전류 보호회로 검토중","@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",구매품질팀 오혁진 SQ,
사후개선,1-2. 개선요청,2026년 1월 16일,,[꿈비] 뭉침없이 조용한 분유쉐이커,충전사양,"고속충전 지원 / 고속충전으로 인한 불량, 배터리용량 관련 불편접수 많음",고속충전 지원 회로변경,엄마감동팀 심우승 SQ,"5V 2A, 과전류 보호회로 검토중","@엄마감동팀 @구매품질팀 @국내사업팀 @해외사업팀 ",구매품질팀 오혁진 SQ,
사후개선,1-2. 개선요청,2026년 5월 27일,,[꿈비] 젖병세척기 UV PRO_크림,기구개선,내부 물넘침 방지 작업,물 과주입시 내부 물넘침 방지를 위한 기구 보강 방안  요청,엄마감동팀 심우승 SQ,,"@혁신상품개발팀 @구매품질팀 @엄마감동팀 ","신상품기획파트 강태헌 파트장, 구매품질팀 오혁진 SQ",
사후개선,1-2. 개선요청,2026년 5월 29일,2026년 6월 1일,[꿈비] 젖병살균세척기,기구개선,젖병살균세척기 내부 누수구조에 대한 개선,물주입구 및 본체바디 실리콘 신규 삽입 및 두께 증가 필요,엄마감동팀 심우승 SQ,,"@엄마감동팀 @혁신상품개발팀 @구매품질팀 ",신상품기획파트 강태헌 파트장,
사후개선,1-2. 개선요청,2026년 6월 2일,,[꿈비] 휴대용 분유포트 분리형,"기구개선, 원자재개선",뚜껑 원자재 검사 강화 요청,"뚜껑 원자재 검사 강화 요청, 세부내용 페이지 내용 참조",엄마감동팀 심우승 SQ,,"@엄마감동팀 @혁신상품개발팀 @구매품질팀 ","신상품기획파트 강태헌 파트장, 구매품질팀 오혁진 SQ",
,2-2 검사중,2026년 6월 4일,,[꿈비] NEW 젖병세척기 올 스테인리스,,올스텐 젖병세척기,,,,,엄마감동팀 심우승 SQ,
